timestamp,open,high,low,close,volume,session,minutes_from_open,bar_number,atr,opening_high,opening_low,opening_open,opening_close,opening_end,opening_count,opening_range,opening_body_fraction,atr_fraction,opening_direction,is_manipulation_session,daily_context_valid,daily_context_side,daily_context_level,daily_context_kind,daily_context_breakout_session,daily_context_distance,daily_context_distance_atr,daily_context_tolerance,range,body,body_safe,upper_wick,lower_wick,close_location
2024-12-30 09:30:00-05:00,89.0,91.0,88.0,90.0,1000,2024-12-30,0,0,,91.0,88.0,89.0,90.0,2024-12-30 09:40:00-05:00,3,3.0,0.3333333333333333,,up,False,False,,,,,,,,3.0,1.0,1.0,1.0,1.0,0.6666666666666666
2024-12-30 09:35:00-05:00,89.01,91.0,88.0,90.0,1000,2024-12-30,5,1,,91.0,88.0,89.0,90.0,2024-12-30 09:40:00-05:00,3,3.0,0.3333333333333333,,up,False,False,,,,,,,,3.0,0.9899999999999949,0.9899999999999949,1.0,1.0100000000000051,0.6666666666666666
2024-12-30 09:40:00-05:00,89.02000000000001,91.0,88.0,90.0,1000,2024-12-30,10,2,,91.0,88.0,89.0,90.0,2024-12-30 09:40:00-05:00,3,3.0,0.3333333333333333,,up,False,False,,,,,,,,3.0,0.9799999999999898,0.9799999999999898,1.0,1.0200000000000102,0.6666666666666666
2024-12-30 09:45:00-05:00,89.03000000000002,91.0,88.0,90.0,1000,2024-12-30,15,3,,91.0,88.0,89.0,90.0,2024-12-30 09:40:00-05:00,3,3.0,0.3333333333333333,,up,False,False,,,,,,,,3.0,0.9699999999999847,0.9699999999999847,1.0,1.0300000000000153,0.6666666666666666
2024-12-30 09:50:00-05:00,89.04000000000002,91.0,88.0,90.0,1000,2024-12-30,20,4,,91.0,88.0,89.0,90.0,2024-12-30 09:40:00-05:00,3,3.0,0.3333333333333333,,up,False,False,,,,,,,,3.0,0.9599999999999795,0.9599999999999795,1.0,1.0400000000000205,0.6666666666666666
2024-12-30 09:55:00-05:00,89.05000000000003,91.0,88.0,90.0,1000,2024-12-30,25,5,,91.0,88.0,89.0,90.0,2024-12-30 09:40:00-05:00,3,3.0,0.3333333333333333,,up,False,False,,,,,,,,3.0,0.9499999999999744,0.9499999999999744,1.0,1.0500000000000256,0.6666666666666666
2024-12-30 10:00:00-05:00,89.06000000000003,91.0,88.0,90.0,1000,2024-12-30,30,6,,91.0,88.0,89.0,90.0,2024-12-30 09:40:00-05:00,3,3.0,0.3333333333333333,,up,False,False,,,,,,,,3.0,0.9399999999999693,0.9399999999999693,1.0,1.0600000000000307,0.6666666666666666
2024-12-30 10:05:00-05:00,89.07000000000004,91.0,88.0,90.0,1000,2024-12-30,35,7,,91.0,88.0,89.0,90.0,2024-12-30 09:40:00-05:00,3,3.0,0.3333333333333333,,up,False,False,,,,,,,,3.0,0.9299999999999642,0.9299999999999642,1.0,1.0700000000000358,0.6666666666666666
2024-12-30 10:10:00-05:00,89.08000000000004,91.0,88.0,90.0,1000,2024-12-30,40,8,,91.0,88.0,89.0,90.0,2024-12-30 09:40:00-05:00,3,3.0,0.3333333333333333,,up,False,False,,,,,,,,3.0,0.9199999999999591,0.9199999999999591,1.0,1.080000000000041,0.6666666666666666
2024-12-30 10:15:00-05:00,89.09000000000005,91.0,88.0,90.0,1000,2024-12-30,45,9,,91.0,88.0,89.0,90.0,2024-12-30 09:40:00-05:00,3,3.0,0.3333333333333333,,up,False,False,,,,,,,,3.0,0.909999999999954,0.909999999999954,1.0,1.090000000000046,0.6666666666666666
2024-12-30 10:20:00-05:00,89.10000000000005,91.0,88.0,90.0,1000,2024-12-30,50,10,,91.0,88.0,89.0,90.0,2024-12-30 09:40:00-05:00,3,3.0,0.3333333333333333,,up,False,False,,,,,,,,3.0,0.8999999999999488,0.8999999999999488,1.0,1.1000000000000512,0.6666666666666666
2024-12-30 10:25:00-05:00,89.11000000000006,91.0,88.0,90.0,1000,2024-12-30,55,11,,91.0,88.0,89.0,90.0,2024-12-30 09:40:00-05:00,3,3.0,0.3333333333333333,,up,False,False,,,,,,,,3.0,0.8899999999999437,0.8899999999999437,1.0,1.1100000000000563,0.6666666666666666
2024-12-30 10:30:00-05:00,89.12000000000006,91.0,88.0,90.0,1000,2024-12-30,60,12,,91.0,88.0,89.0,90.0,2024-12-30 09:40:00-05:00,3,3.0,0.3333333333333333,,up,False,False,,,,,,,,3.0,0.8799999999999386,0.8799999999999386,1.0,1.1200000000000614,0.6666666666666666
